playlist_id,playlist_name,playlist_img,playlist_owner_name,playlist_owner_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track.id,analysis_url,time_signature,added_at,is_local,primary_color,added_by.href,added_by.id,added_by.type,added_by.uri,added_by.external_urls.spotify,track.artists,track.available_markets,track.disc_number,track.duration_ms,track.episode,track.explicit,track.href,track.is_local,track.name,track.popularity,track.preview_url,track.track,track.track_number,track.type,track.uri,track.album.album_type,track.album.artists,track.album.available_markets,track.album.href,track.album.id,track.album.images,track.album.name,track.album.release_date,track.album.release_date_precision,track.album.total_tracks,track.album.type,track.album.uri,track.album.external_urls.spotify,track.external_ids.isrc,track.external_urls.spotify,video_thumbnail.url,key_name,mode_name,key_mode
37i9dQZF1DX7Jl5KP2eZaS,Top Tracks of 2020,https://i.scdn.co/image/ab67706f00000003fe9dc05d01471e1917d46c6b,Spotify,spotify,0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,2xLMifQCjDGFmkHkpNLD9h,https://api.spotify.com/v1/audio-analysis/2xLMifQCjDGFmkHkpNLD9h,4,2020-12-01T05:02:00Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,,,1,312820,FALSE,TRUE,https://api.spotify.com/v1/tracks/2xLMifQCjDGFmkHkpNLD9h,FALSE,SICKO MODE,85,https://p.scdn.co/mp3-preview/8229545ded5cacf393f62b17af653dfc8171fc85?cid=32ae469b93d248f1a69e8d3222c0336e,TRUE,3,track,spotify:track:2xLMifQCjDGFmkHkpNLD9h,album,,,https://api.spotify.com/v1/albums/41GuZcammIkupMPKH2OJ6I,41GuZcammIkupMPKH2OJ6I,,ASTROWORLD,2018-08-03,day,17,album,spotify:album:41GuZcammIkupMPKH2OJ6I,https://open.spotify.com/album/41GuZcammIkupMPKH2OJ6I,USSM11806660,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,NA,G#,major,G# major
37i9dQZF1DXe2bobNYDtW8,Top Hits of 2018,https://i.scdn.co/image/ab67706f00000003dee8efbe1a3f8b7262c5003e,Spotify,spotify,0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.011,7BqHUALzNBTanL6OvsqmC1,https://api.spotify.com/v1/audio-analysis/7BqHUALzNBTanL6OvsqmC1,4,2020-06-22T07:16:14Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,,,1,214289,FALSE,FALSE,https://api.spotify.com/v1/tracks/7BqHUALzNBTanL6OvsqmC1,FALSE,Happier,85,https://p.scdn.co/mp3-preview/a23fe33122a12a302b97c443ab82473ce55df8fd?cid=32ae469b93d248f1a69e8d3222c0336e,TRUE,1,track,spotify:track:7BqHUALzNBTanL6OvsqmC1,single,,,https://api.spotify.com/v1/albums/2u4Yp2ADTKYPwFSBFL4ffa,2u4Yp2ADTKYPwFSBFL4ffa,,Happier,2018-08-17,day,1,album,spotify:album:2u4Yp2ADTKYPwFSBFL4ffa,https://open.spotify.com/album/2u4Yp2ADTKYPwFSBFL4ffa,USUG11801651,https://open.spotify.com/track/7BqHUALzNBTanL6OvsqmC1,NA,F,major,F major
37i9dQZF1DXe2bobNYDtW8,Top Hits of 2018,https://i.scdn.co/image/ab67706f00000003dee8efbe1a3f8b7262c5003e,Spotify,spotify,0.754,0.449,7,-9.211,1,0.109,0.0332,8.29e-5,0.552,0.357,77.169,6DCZcSspjsKoFjzjrWoCdn,https://api.spotify.com/v1/audio-analysis/6DCZcSspjsKoFjzjrWoCdn,4,2020-06-22T07:16:14Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,,,1,198973,FALSE,TRUE,https://api.spotify.com/v1/tracks/6DCZcSspjsKoFjzjrWoCdn,FALSE,God's Plan,85,NA,TRUE,5,track,spotify:track:6DCZcSspjsKoFjzjrWoCdn,album,,,https://api.spotify.com/v1/albums/1ATL5GLyefJaxhQzSPVrLX,1ATL5GLyefJaxhQzSPVrLX,,Scorpion,2018-06-29,day,25,album,spotify:album:1ATL5GLyefJaxhQzSPVrLX,https://open.spotify.com/album/1ATL5GLyefJaxhQzSPVrLX,USCM51800004,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,NA,G,major,G major
37i9dQZF1DXe2bobNYDtW8,Top Hits of 2018,https://i.scdn.co/image/ab67706f00000003dee8efbe1a3f8b7262c5003e,Spotify,spotify,0.75,0.404,9,-10.178,0,0.0682,0.216,3.57e-4,0.0911,0.0499,95.045,6NFyWDv5CjfwuzoCkw47Xf,https://api.spotify.com/v1/audio-analysis/6NFyWDv5CjfwuzoCkw47Xf,4,2020-06-22T07:16:14Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,,,1,232253,FALSE,FALSE,https://api.spotify.com/v1/tracks/6NFyWDv5CjfwuzoCkw47Xf,FALSE,Delicate,85,NA,TRUE,5,track,spotify:track:6NFyWDv5CjfwuzoCkw47Xf,album,,,https://api.spotify.com/v1/albums/6DEjYFkNZh67HP7R9PSZvv,6DEjYFkNZh67HP7R9PSZvv,,reputation,2017-11-10,day,15,album,spotify:album:6DEjYFkNZh67HP7R9PSZvv,https://open.spotify.com/album/6DEjYFkNZh67HP7R9PSZvv,USCJY1750007,https://open.spotify.com/track/6NFyWDv5CjfwuzoCkw47Xf,NA,A,minor,A minor
37i9dQZF1DXe2bobNYDtW8,Top Hits of 2018,https://i.scdn.co/image/ab67706f00000003dee8efbe1a3f8b7262c5003e,Spotify,spotify,0.8,0.585,10,-7.343,1,0.0924,0.264,0,0.153,0.779,126.058,6PGoSes0D9eUDeeAafB2As,https://api.spotify.com/v1/audio-analysis/6PGoSes0D9eUDeeAafB2As,4,2020-08-11T07:28:27Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,,,1,213400,FALSE,TRUE,https://api.spotify.com/v1/tracks/6PGoSes0D9eUDeeAafB2As,FALSE,LOVE. FEAT. ZACARI.,84,NA,TRUE,10,track,spotify:track:6PGoSes0D9eUDeeAafB2As,album,,,https://api.spotify.com/v1/albums/4eLPsYPBmXABThSJ821sqY,4eLPsYPBmXABThSJ821sqY,,DAMN.,2017-04-14,day,14,album,spotify:album:4eLPsYPBmXABThSJ821sqY,https://open.spotify.com/album/4eLPsYPBmXABThSJ821sqY,USUM71703088,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As,NA,A#,major,A# major
37i9dQZF1DXe2bobNYDtW8,Top Hits of 2018,https://i.scdn.co/image/ab67706f00000003dee8efbe1a3f8b7262c5003e,Spotify,spotify,0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,285pBltuF7vW8TeWk8hdRR,https://api.spotify.com/v1/audio-analysis/285pBltuF7vW8TeWk8hdRR,4,2020-06-22T07:16:14Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,,,1,239835,FALSE,TRUE,https://api.spotify.com/v1/tracks/285pBltuF7vW8TeWk8hdRR,FALSE,Lucid Dreams,84,NA,TRUE,3,track,spotify:track:285pBltuF7vW8TeWk8hdRR,album,,,https://api.spotify.com/v1/albums/6tkjU4Umpo79wwkgPMV3nZ,6tkjU4Umpo79wwkgPMV3nZ,,Goodbye & Good Riddance,2018-12-10,day,17,album,spotify:album:6tkjU4Umpo79wwkgPMV3nZ,https://open.spotify.com/album/6tkjU4Umpo79wwkgPMV3nZ,USUG11800685,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,NA,F#,minor,F# minor
37i9dQZF1DX7Jl5KP2eZaS,Top Tracks of 2020,https://i.scdn.co/image/ab67706f00000003fe9dc05d01471e1917d46c6b,Spotify,spotify,0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,285pBltuF7vW8TeWk8hdRR,https://api.spotify.com/v1/audio-analysis/285pBltuF7vW8TeWk8hdRR,4,2020-12-01T05:02:00Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,,,1,239835,FALSE,TRUE,https://api.spotify.com/v1/tracks/285pBltuF7vW8TeWk8hdRR,FALSE,Lucid Dreams,84,NA,TRUE,3,track,spotify:track:285pBltuF7vW8TeWk8hdRR,album,,,https://api.spotify.com/v1/albums/6tkjU4Umpo79wwkgPMV3nZ,6tkjU4Umpo79wwkgPMV3nZ,,Goodbye & Good Riddance,2018-12-10,day,17,album,spotify:album:6tkjU4Umpo79wwkgPMV3nZ,https://open.spotify.com/album/6tkjU4Umpo79wwkgPMV3nZ,USUG11800685,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,NA,F#,minor,F# minor
37i9dQZF1DXe2bobNYDtW8,Top Hits of 2018,https://i.scdn.co/image/ab67706f00000003dee8efbe1a3f8b7262c5003e,Spotify,spotify,0.88,0.428,9,-8.28,1,0.206,0.149,5.05e-5,0.114,0.333,100.007,7sO5G9EABYOXQKNPNiE9NR,https://api.spotify.com/v1/audio-analysis/7sO5G9EABYOXQKNPNiE9NR,4,2020-06-22T07:16:14Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,,,1,172800,FALSE,TRUE,https://api.spotify.com/v1/tracks/7sO5G9EABYOXQKNPNiE9NR,FALSE,Ric Flair Drip (with Metro Boomin),84,https://p.scdn.co/mp3-preview/89cee86b4663ac093731d7a433491dd71e286f61?cid=32ae469b93d248f1a69e8d3222c0336e,TRUE,3,track,spotify:track:7sO5G9EABYOXQKNPNiE9NR,album,,,https://api.spotify.com/v1/albums/0MV1yCXcNNQBfwApqAVkH0,0MV1yCXcNNQBfwApqAVkH0,,Without Warning,2017-10-30,day,10,album,spotify:album:0MV1yCXcNNQBfwApqAVkH0,https://open.spotify.com/album/0MV1yCXcNNQBfwApqAVkH0,QZ45A1700064,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR,NA,A,major,A major
37i9dQZF1DXe2bobNYDtW8,Top Hits of 2018,https://i.scdn.co/image/ab67706f00000003dee8efbe1a3f8b7262c5003e,Spotify,spotify,0.585,0.52,5,-6.136,0,0.0712,0.124,7.01e-5,0.131,0.129,159.801,0e7ipj03S05BNilyu5bRzt,https://api.spotify.com/v1/audio-analysis/0e7ipj03S05BNilyu5bRzt,4,2020-06-22T07:16:14Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,,,1,218146,FALSE,TRUE,https://api.spotify.com/v1/tracks/0e7ipj03S05BNilyu5bRzt,FALSE,rockstar (feat. 21 Savage),84,NA,TRUE,6,track,spotify:track:0e7ipj03S05BNilyu5bRzt,album,,,https://api.spotify.com/v1/albums/6trNtQUgC8cgbWcqoMYkOR,6trNtQUgC8cgbWcqoMYkOR,,beerbongs & bentleys,2018-04-27,day,18,album,spotify:album:6trNtQUgC8cgbWcqoMYkOR,https://open.spotify.com/album/6trNtQUgC8cgbWcqoMYkOR,USUM71710087,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,NA,F,minor,F minor
37i9dQZF1DXe2bobNYDtW8,Top Hits of 2018,https://i.scdn.co/image/ab67706f00000003dee8efbe1a3f8b7262c5003e,Spotify,spotify,0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,0JP9xo3adEtGSdUEISiszL,https://api.spotify.com/v1/audio-analysis/0JP9xo3adEtGSdUEISiszL,4,2020-06-22T07:16:14Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,,,1,135090,FALSE,TRUE,https://api.spotify.com/v1/tracks/0JP9xo3adEtGSdUEISiszL,FALSE,Moonlight,83,NA,TRUE,3,track,spotify:track:0JP9xo3adEtGSdUEISiszL,album,,,https://api.spotify.com/v1/albums/2Ti79nwTsont5ZHfdxIzAm,2Ti79nwTsont5ZHfdxIzAm,,?,2018-03-16,day,18,album,spotify:album:2Ti79nwTsont5ZHfdxIzAm,https://open.spotify.com/album/2Ti79nwTsont5ZHfdxIzAm,USUG11800209,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,NA,A,minor,A minor
