hit_year,track_duration_ms,tempo,loudness,mode_name,key_mode,period,before_pandemic,major,minor
2015,214725,139.982,-5.799,minor,G# minor,Before Pandemic,1,0,1
2015,226600,120.001,-7.747,major,G# major,Before Pandemic,1,1,0
2015,170637,86.976,-3.728,minor,C# minor,Before Pandemic,1,0,1
2015,212640,122.003,-4.373,minor,B minor,Before Pandemic,1,0,1
2016,233720,100.418,-9.828,major,E major,Before Pandemic,1,1,0
2016,200786,99.945,-3.669,minor,C minor,Before Pandemic,1,0,1
2016,173986,103.967,-5.609,major,C# major,Before Pandemic,1,1,0
2016,219320,91.974,-6.238,major,B major,Before Pandemic,1,1,0
2016,202333,169.977,-5.677,minor,E minor,Before Pandemic,1,0,1
2016,247866,145.245,-5.503,minor,A# minor,Before Pandemic,1,0,1
2016,208373,159.803,-5.094,major,B major,Before Pandemic,1,1,0
2016,236001,113.03,-5.715,major,C major,Before Pandemic,1,1,0
2017,236001,113.03,-5.715,major,C major,Before Pandemic,1,1,0
2016,244960,95.01,-5.599,major,G# major,Before Pandemic,1,1,0
2017,244960,95.01,-5.599,major,G# major,Before Pandemic,1,1,0
2016,224813,89.972,-4.931,minor,F# minor,Before Pandemic,1,0,1
2016,237300,119.992,-5.829,major,A# major,Before Pandemic,1,1,0
2016,191600,110.898,-8.091,minor,F minor,Before Pandemic,1,0,1
2016,192190,94.006,-4.792,minor,G minor,Before Pandemic,1,0,1
2016,197933,101.969,-6.645,minor,G minor,Before Pandemic,1,0,1
2016,214480,105.017,-5.861,major,G# major,Before Pandemic,1,1,0
2016,222160,123.962,-2.787,minor,A minor,Before Pandemic,1,0,1
2016,219146,119.002,-5.446,minor,E minor,Before Pandemic,1,0,1
2016,251466,111.995,-6.518,minor,C minor,Before Pandemic,1,0,1
2016,214506,74.989,-5.355,major,F# major,Before Pandemic,1,1,0
2016,195743,90.028,-5.825,minor,E minor,Before Pandemic,1,0,1
2016,203686,124.909,-4.271,major,B major,Before Pandemic,1,1,0
2016,185360,92.943,-5.092,minor,F# minor,Before Pandemic,1,0,1
2016,223078,164.068,-8.361,minor,F# minor,Before Pandemic,1,0,1
2016,226738,100.001,-7.055,major,E major,Before Pandemic,1,1,0
2016,187973,82.695,-4.078,minor,A# minor,Before Pandemic,1,0,1
2017,187973,82.695,-4.078,minor,A# minor,Before Pandemic,1,0,1
2016,263373,117.996,-7.839,major,G major,Before Pandemic,1,1,0
2016,313546,143.961,-7.789,major,G# major,Before Pandemic,1,1,0
2016,215413,162.958,-5.92,major,G major,Before Pandemic,1,1,0
2016,225205,145.99,-7.39,major,G# major,Before Pandemic,1,1,0
2017,225205,145.99,-7.39,major,G# major,Before Pandemic,1,1,0
2016,198293,96.991,-5.556,minor,B minor,Before Pandemic,1,0,1
2016,235946,134.049,-5.369,minor,E minor,Before Pandemic,1,0,1
2016,205879,142.079,-7.286,major,C# major,Before Pandemic,1,1,0
2016,251033,92.6,-13.4,minor,F# minor,Before Pandemic,1,0,1
2016,229080,98.02,-4.01,minor,B minor,Before Pandemic,1,0,1
2016,245226,92.287,-11.083,minor,A# minor,Before Pandemic,1,0,1
2016,194453,91.024,-5.353,major,C# major,Before Pandemic,1,1,0
2016,261160,147.43,-11.441,major,C# major,Before Pandemic,1,1,0
2016,213506,92.134,-3.599,minor,C# minor,Before Pandemic,1,0,1
2016,213427,145.992,-5.728,minor,B minor,Before Pandemic,1,0,1
2016,205946,99.988,-5.371,major,G# major,Before Pandemic,1,1,0
2017,205946,99.988,-5.371,major,G# major,Before Pandemic,1,1,0
2016,198236,158.777,-4.503,major,G# major,Before Pandemic,1,1,0
2016,194186,78.077,-4.081,minor,G minor,Before Pandemic,1,0,1
2016,217706,100.017,-8.053,minor,C# minor,Before Pandemic,1,0,1
2016,244453,107.853,-5.948,major,A major,Before Pandemic,1,1,0
2016,225882,113.049,-9.343,major,G# major,Before Pandemic,1,1,0
2016,194613,160.108,-10.598,major,F# major,Before Pandemic,1,1,0
2016,238320,78.521,-3.724,major,F major,Before Pandemic,1,1,0
2016,200680,111.016,-7.161,minor,F minor,Before Pandemic,1,0,1
2016,240000,121.918,-5.267,minor,G minor,Before Pandemic,1,0,1
2016,230453,186.003,-7.015,major,G major,Before Pandemic,1,1,0
2017,230453,186.003,-7.015,major,G major,Before Pandemic,1,1,0
2016,183695,103.521,-8.241,minor,A# minor,Before Pandemic,1,0,1
2016,234909,115.058,-5.476,major,C major,Before Pandemic,1,1,0
2016,235653,168.022,-4.993,major,G major,Before Pandemic,1,1,0
2016,181240,123.831,-5.849,minor,B minor,Before Pandemic,1,0,1
2016,227426,166.052,-9.245,major,D major,Before Pandemic,1,1,0
2016,256532,130.098,-7.678,major,G major,Before Pandemic,1,1,0
2016,234213,123.996,-5.273,minor,F# minor,Before Pandemic,1,0,1
2016,193546,117.055,-6.169,major,C major,Before Pandemic,1,1,0
2016,243490,169.021,-4.378,minor,A minor,Before Pandemic,1,0,1
